"X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
157,2014,"D51","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","73","Moss Park",1
158,2016,"D11","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","91","Weston-Pelham Park",18
159,2022,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Youth","151","Yonge-Doris",1
160,2021,"D23","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","8","Humber Heights-Westmount",5
161,2016,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","109","Caledonia-Fairbank",15
162,2019,"D13","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","31","Yorkdale-Glen Park",180
163,2015,"D23","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","1","West Humber-Clairville",50
164,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","126","Dorset Park",435
165,2016,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","121","Oakridge",17
166,2021,"D43","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","136","West Hill",18
167,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","62","East End-Danforth",29
168,2022,"D41","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","122","Birchcliffe-Cliffside",2
169,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","43","Victoria Village",28
170,2019,"D13","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","107","Oakwood Village",3
171,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","29","Maple Leaf",66
172,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","44","Flemingdon Park",29
173,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","19","Long Branch",27
174,2018,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","152","East Willowdale",10
175,2014,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","118","Tam O'Shanter-Sullivan",1
176,2015,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","150","Fenside-Parkwoods",5
177,2015,"D22","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","158","Islington",7
178,2019,"D43","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","140","Guildwood",4
179,2019,"D31","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Youth","25","Glenfield-Jane Heights",1
180,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","23","Pelmo Park-Humberlea",6
181,2019,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","3","Thistletown-Beaumond Heights",53
182,2021,"D53","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","71","Cabbagetown-South St.James Town",1
183,2018,"D11","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","89","Runnymede-Bloor West Village",38
184,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","58","Old East York",1
185,2014,"D11","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Youth","83","Dufferin Grove",1
186,2018,"D23","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","NSA","NSA",530
187,2015,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","15","Kingsway South",77
188,2014,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","120","Clairlea-Birchmount",4
189,2014,"D23","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","2","Mount Olive-Silverstone-Jamestown",5
190,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","NSA","NSA",528
191,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","74","North St.James Town",71
192,2019,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","103","Lawrence Park South",5
193,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","120","Clairlea-Birchmount",3
194,2019,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","40","St.Andrew-Windfields",49
195,2014,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","44","Flemingdon Park",54
196,2016,"D11","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",22
197,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","122","Birchcliffe-Cliffside",27
198,2021,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","58","Old East York",39
199,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","12","Markland Wood",1
200,2021,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","NSA","NSA",62
201,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","30","Brookhaven-Amesbury",192
